movie,desc,rating,genres,casts,season,name,episode_link,movie_image-src,mp4_link-href,3gp_link-href
24 Legacy,"A military hero who returns to the U.S. with a whole lot of trouble following him back. With nowhere else to turn, the man asks CTU to help him save his life while also stopping one of the largest-scale terror attacks on American soil.",4.96,Crime,"Corey Hawkins, Miranda Otto, Charlie Hofheimer",,,,,,
Shadowhunters,"After her mother is kidnapped, Clary must venture into the dark world of demon hunting in order to find clues that can help her find her mother.",4.85,null,"Katherine McNamara, Dominic Sherwood, Alberto Rosende",Season 02,Shadowhunters,Episode 05,http://o2tvseries.com/res/tv_serials/163.jpg,http://o2tvseries.com/download/28072,http://o2tvseries.com/download/28071
Vikings,"Vikings follows the adventures of Ragnar Lothbrok the greatest hero of his age. The series tells the sagas of Ragnar's band of Viking brothers and his family, as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods, legend has it that he was a direct descendant of Odin, the god of war and warriors.",4.83,null,"Travis Fimmel, Katheryn Winnick, Clive Standen",Season 01,Vikings,Episode 09,http://o2tvseries.com/res/tv_serials/18.jpg,http://o2tvseries.com/download/4822,http://o2tvseries.com/Vikings-2/Season-01/Episode-09/index.html#
12 Monkeys,Follows the journey of a time traveler from the post-apocalyptic future who appears in present day on a mission to locate and eradicate the source of a deadly plague that will eventually decimate the human race.,4.8,null,"Aaron Stanford, Amanda Schull, Noah Bean",Season 02,12 Monkeys,Episode 13 - Season Finale,http://o2tvseries.com/res/tv_serials/124.jpg,http://o2tvseries.com/download/19370,http://o2tvseries.com/12-Monkeys/Season-02/Episode-13-Season-Finale/index.html#
The Magicians,A smart young man attends a college of magic in New York.,4.82,Horror,"Jade Tailor, Jason Ralph, Olivia Taylor Dudley",,,,,,
Witches of East End,"Centers on the adventures of a mother and her two adult daughters, both of whom unknowingly are their family's next generation of witches, who lead seemingly quiet, uneventful modern day lives in Long Island's secluded seaside town of North Hampton. When one of the daughters becomes engaged to a young, wealthy newcomer, a series of events forces her mother to admit to her daughters they are, in fact, powerful and immortal witches.",4.8,Drama,"Julia Ormond, Jenna Dewan-Tatum, Rachel Boston",,,,,,
Vikings,"Vikings follows the adventures of Ragnar Lothbrok the greatest hero of his age. The series tells the sagas of Ragnar's band of Viking brothers and his family, as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods, legend has it that he was a direct descendant of Odin, the god of war and warriors.",4.83,null,"Travis Fimmel, Katheryn Winnick, Clive Standen",Season 01,Vikings,Episode 04,http://o2tvseries.com/res/tv_serials/18.jpg,http://o2tvseries.com/download/4812,http://o2tvseries.com/Vikings-2/Season-01/Episode-04/index.html#
White Collar,"The unlikely partnership between charming con artist Neal Caffrey and straightman FBI agent Peter Burke. Caffrey provides his expertise to help Burke catch other elusive criminals in exchange for his freedom, and together they prove that to solve the hardest crimes, you must hire the smartest criminal.",4.8,null,"Matt Bomer, Tim DeKay, Willie Garson",Season 06,White Collar,Episode 01,http://o2tvseries.com/res/tv_serials/45.jpg,http://o2tvseries.com/download/13706,http://o2tvseries.com/White-Collar/Season-06/Episode-01/index.html#
24,"In this concept drama, each season takes place within one 24 hour period. Day 1: Jack Bauer is the head of field ops for an elite team of CTU agents who uncover an assassination plot targeting Presidential nominee David Palmer. Meanwhile, Jack's strained marriage to his wife, Teri, is pushed to the brink by the sudden disappearance of their troubled teenage daughter. What will the next 24 hours hold?",4.8,null,"Kiefer Sutherland, Mary Lynn Rajskub, Carlos Bernard",Season 09,24,Episode 06,http://o2tvseries.com/res/tv_serials/29.jpg,http://o2tvseries.com/download/12574,http://o2tvseries.com/24-1/Season-09/Episode-06/index.html#
Supernatural,"Two brothers follow their father's footsteps as ""hunters"" fighting evil supernatural beings of many kinds including monsters, demons, and gods that roam the earth.",4.83,null,"Jared Padalecki, Jensen Ackles, Misha Collins",Season 07,Supernatural,Episode 22,http://o2tvseries.com/res/tv_serials/5.jpg,http://o2tvseries.com/download/2776,http://o2tvseries.com/Supernatural-2/Season-07/Episode-22/index.html#
Westworld,A series inspired by the 1973 film of the same title written by Michael Crichton about a futuristic theme park populated by artificial beings.,4.78,Thriller,"Anthony Hopkins, Ed Harris, Evan Rachel Wood",,,,,,
Vikings,"Vikings follows the adventures of Ragnar Lothbrok the greatest hero of his age. The series tells the sagas of Ragnar's band of Viking brothers and his family, as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods, legend has it that he was a direct descendant of Odin, the god of war and warriors.",4.83,null,"Travis Fimmel, Katheryn Winnick, Clive Standen",Season 02,Vikings,Episode 04,http://o2tvseries.com/res/tv_serials/18.jpg,http://o2tvseries.com/download/11844,http://o2tvseries.com/Vikings-2/Season-02/Episode-04/index.html#
Supernatural,"Two brothers follow their father's footsteps as ""hunters"" fighting evil supernatural beings of many kinds including monsters, demons, and gods that roam the earth.",4.83,null,"Jared Padalecki, Jensen Ackles, Misha Collins",Season 01,Supernatural,Episode 20,http://o2tvseries.com/res/tv_serials/5.jpg,http://o2tvseries.com/download/2520,http://o2tvseries.com/Supernatural-2/Season-01/Episode-20/index.html#
Vikings,"Vikings follows the adventures of Ragnar Lothbrok the greatest hero of his age. The series tells the sagas of Ragnar's band of Viking brothers and his family, as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods, legend has it that he was a direct descendant of Odin, the god of war and warriors.",4.83,null,"Travis Fimmel, Katheryn Winnick, Clive Standen",Season 03,Vikings,Episode 05,http://o2tvseries.com/res/tv_serials/18.jpg,http://o2tvseries.com/download/14882,http://o2tvseries.com/Vikings-2/Season-03/Episode-05/index.html#
Supernatural,"Two brothers follow their father's footsteps as ""hunters"" fighting evil supernatural beings of many kinds including monsters, demons, and gods that roam the earth.",4.83,null,"Jared Padalecki, Jensen Ackles, Misha Collins",Season 06,Supernatural,Episode 20,http://o2tvseries.com/res/tv_serials/5.jpg,http://o2tvseries.com/download/2728,http://o2tvseries.com/Supernatural-2/Season-06/Episode-20/index.html#
